,moves,explanation
4363,d4 d5 Nf3 Nc6 c4 e6 Nc3 Nf6 Bg5 h6 Bxf6 gxf6 e3 Bd6 c5 Be7 Rc1 b6 Bb5 Bb7 cxb6 axb6 O-O Kd7 e4 Rg8 exd5 exd5 Nxd5 Rxa2 Re1 Kc8 Bxc6 Bxc6 Nxe7+ Kb7 Nxc6 Qa8 d5 Rxb2 d6 Rc8 d7 Rd8 Qd5 Qa2 Nxd8+ Kb8 Qb7#,
4364,d4 d5 c4 c6 e3 Nf6 Nf3 Bg4 h3 Bh5 g4 Bg6 Bd3 Bxd3 Qxd3 e6 Na3 Be7 Bd2 Ne4 O-O-O Bxa3 bxa3 Nxf2 Qb1 Qc7 Rhe1 Nxd1 Kxd1 O-O Ke2 Nd7 Bc3 dxc4 Ne5 Nxe5 dxe5 Rad8 g5 b6 g6 fxg6 h4 Rf5 Qb2 Qf7 Qb1 Rf2#,
4365,e4 e5 Nc3 Nf6 f4 d5 fxe5 Nfd7 exd5 Nxe5 Qe2 Bd6 Nf3 Qe7 d4 Ng6 Qxe7+ Nxe7 Bb5+ Bd7 O-O a6 Bd3 c6 Re1 Kd8 Bg5 f6 Bd2 Re8 dxc6 Bxc6 Bxh7 g6 d5 Bd7 Ne4 Bc7 Nxf6 Rh8 Bxg6 Nxg6 Bg5 Bd6 Ne4+ Kc7 c4 b6 Rac1 Be8 Nxd6 Kxd6 Re6+ Kd7 c5 Ne7 Ne5+ Kd8 Rxe7 Rh5 Rg7+ Kc8 Rg8 Kb7 c6+ Ka7 Rg7+ Bf7 Rxf7+ Nd7 Rxd7+ Kb8 c7+ Kc8 Rd8+ Kb7 c8=Q+ Ka7 Rc7#,
4366,e3 d5 h3 e5 Qh5 g6 Qxe5+ Ne7 Qxh8,
4367,e4 e6 Nf3 Nc6 d4 d5 e5 a6 c3 Nh6 Bd3 Be7 O-O O-O Bxh6 gxh6 Qc2 Kh8 Bxh7 Qe8 Nbd2 f6 exf6 Bxf6 Rae1 Qf7 Bd3 Rg8 c4 e5 dxe5 Qg7 g3 Nxe5 Nxe5 Bh3 Ng6+ Kh7 Nf4+ Kh8 Nxh3 Rge8 cxd5 Rxe1 Rxe1 Qd7 Nf4 Qd6 Ne4 Qf8 Ng6+,
4368,d4 b6 e3 h6 Qf3 d5 c4 e6 Nc3 Bb7 b3 Nf6 Bd3 Bb4 Bb2 g5 Qd1 Qd7 a3 Bxc3+ Bxc3 b5 cxb5 c6 Nf3 Nh5 O-O cxb5 a4 a6 Ne5 Qd6 Qxh5,
4369,e4 e5 Qh5 Nc6 Bc4 g6 Qe2 Nf6 Nc3 Bc5 a3 a6 Nf3 d6 d3 Be6 h3 Bxc4 dxc4 Qd7 Be3 Bxe3 fxe3 O-O-O O-O-O Nh5 Qf2 f6 b3 Qe6 a4 Nb4 Rhe1 Rhf8 Nd5 Na2+ Kb2 c6 Nb6+ Kc7 a5 Nb4 g4 Ng7 Ka3 c5 Rc1 g5 c3 Nd3 Nxg5 fxg5 Qd2 Nxc1 Rxc1 h6 Nd5+ Kc6 Rd1 Ne8 Qg2 Kd7 Qh2 Nf6 Nxf6+ Qxf6 Qg2 Qe6 Qg3 Kc8 h4 Qd7 hxg5 hxg5 b4 Qc7 b5 Qxa5+ Kb2 axb5 Kb3 Qa4+ Kb2 bxc4 Kc1 Qa3+ Kc2 Qb3+ Kd2 Qb2+ Ke1 Qxc3+ Rd2 Qb3,
4370,e4 e6 d4 d5 e5 Nc6 Nf3 g6 Be3 Nge7 Bb5 a6 Ba4 b5 Bb3 Nf5 Bg5 Be7 Bxe7 Qxe7 Nbd2 a5 a4 Rb8 axb5 Rxb5 Ba4 Rb6 O-O Bd7 Nb3 Nb4 c3 Bxa4 Rxa4 Nc6 Nxa5 Nxa5 Rxa5 Qd8 Qa4+ c6 Ra8 Rb8 Qxc6+ Qd7 Rxb8+,
4371,e4 e6 Nf3 Nc6 d4 Nf6 e5 Nd5 c4 Nde7 Nc3 b6 d5 Na5 d6 cxd6 exd6 Nec6 Ne4 g6 g4 Ba6 g5 Bxc4 Nf6+ Qxf6 gxf6,
4372,e4 e5 Qh5 Nc6 Nf3 d6 g3 g6 Qh3 Bxh3 Bxh3,
4373,e4 e5 Qh5 Bd6 Qe2 Nf6 Nc3 Nc6 Nf3 Bb4 a3 Bxc3 bxc3 d5 a4 dxe4 Nh4 Bg4 f3 exf3 gxf3 Bd7 Ba3 Nd5 Ng2 Bh3 Rb1 Bxg2 Bxg2 Nf4 Qf1 Nxg2+ Qxg2 Qh4+ Qg3 Qxg3+ hxg3 O-O-O d4 exd4 cxd4 Nxd4 c3 Nc2+ Ke2 Nxa3 Rb4 Rhe8+ Kf2 Nc2 Rbh4 h6 Rc1 Rd2+ Kf1 Ne3+ Ke1 Ra2 Rd4 Nf5+ Re4 Rxe4+ fxe4 Nxg3 Kd1 Nxe4 Rc2 Rxc2 Kxc2 h5,
4374,e4 e6 Nc3 b6 Nf3 Bb7 d3 Bb4 a3 Bxc3+ bxc3 h6 Bb2 Nf6 Qe2 Ba6 c4 d6 O-O-O e5 g3 Nc6 Bh3 O-O Rhe1 Nd4 Nxd4 exd4 Bxd4 c5 Be3 Qe8 f3 Qa4 Kb2 Rab8 Qd2 b5 Qc3 bxc4+ Ka2 cxd3 cxd3 Rb6 Rb1 Rfb8 e5 Nd5 Qd2 Rxb1 Rxb1 Rxb1 Kxb1 Qb3+ Ka1 Qxa3+ Kb1 Bxd3+ Qxd3 Qxd3+,
4375,e4 e6 Nf3 Nf6 e5 Nd5 c4 Ne7 d4 d6 Nc3 dxe5 Nxe5 f6 Ng4 f5 Ne5 Nbc6 Bf4 Ng6 Qh5 Ke7 Bg5+ Ke8 Bxd8 Kxd8 Nf7+,
4376,e3 e6 f3 Nc6 c3 f5 Bd3 a6 Na3 g6 Ne2 Nf6 g4 d5 O-O Qe7 Qb3 Bd7 Nd4 Nxd4 cxd4 O-O-O gxf5 gxf5 e4 Rg8+ Kf2 Bh6 exf5 exf5 Re1 Be6 Qc3 Rg6 Re5 Rd6 Nc4 Rc6 b3 b5 a4 Rg5 Ba3 Qe8 b4 Nd7 a5 Nxe5 Nxe5 Rxc3,
4377,e4 e6 d4 d5 exd5 exd5 Nf3 Qe7+ Qe2 Nf6 Qxe7+ Bxe7 Bb5+ Nc6 Ne5 a6 Ba4 Bd7 Nxd7 Kxd7 Nc3 b5 Bb3 Nxd4 Nxd5 Nxd5 Bxd5 c6 Bxf7 Rhf8 Bh5 g6 Bg4+ Ke8 O-O h5 Bh3 Ne2+ Kh1 Nd4 Bh6 Rf7 c3 Nc2 Rac1 Bc5 Rxc2 Rh7 Re2+ Re7 Rxe7+ Bxe7 Re1 Ra7 Re6 Rd7 Re1 g5 Bxd7+ Kxd7 Rd1+ Bd6 Bxg5 c5 Bf4 b4 Rxd6+ Kc7 cxb4 cxb4 Rxa6+ Kd7 Rb6,
4378,e4 e6 d4 d5 exd5 exd5 Nc3 Qe7+ Be2 c6 Nf3 Nf6 O-O g6 Re1 Bg7 Bd3 a6 Rxe7+ Kxe7 Bg5,
4379,e4 e6 f4 Nc6 d4 f5 e5 Nce7 Be3 d5 exd6 cxd6 Bc4 d5 Bb3 a6 c4 Ng6 cxd5 exd5 Nf3 Nf6 O-O Bd6 Re1 O-O Nc3 Qa5 Ng5 h6 Nf3 Re8 Bd2 Rxe1+ Bxe1 Bd7 Nxd5 Nxd5 Bxa5,
4380,e4 c5 Nf3 Nc6 Bb5 g6 O-O Bg7 c3 e5 d3 Nge7 Bc4 h6 Be3 d6 a3 O-O b4 b6 Qb3 Bg4 Nbd2 Qd7 h3 Be6 Bxe6 fxe6 Rfb1 Kh7 bxc5 dxc5 Nc4 Qxd3 Rd1 Qxe4 Nd6 Na5 Qxe6 Qc6 Qxe7 Rxf3 Bxh6 Kxh6 Qh4#,
4381,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Bc5 c3 Nxe4 d4 exd4 cxd4 Bb6 d5 Ne7 Bd3 Nc5 d6 cxd6 Bc2 d5 Nc3 Ne6 Nxd5 Nxd5 Qxd5 O-O Rd1 d6 Qxd6 Qxd6 Rxd6 Rd8 Rxd8+ Bxd8 Be3 Bf6 Be4 Bxb2 Rb1 Bf6 Bxb7 Rb8 Be4 Rxb1+ Bxb1 a5 Bd2 a4 Bc2 Bd7 Kf1 Bb5+ Ke1 g6 g3 Nc5 Bb4 Nd3+ Bxd3 Bxd3 Kd2 Be4 Ke3 Bd5 a3 Bg7 Nd4 f5 Nb5 Kf7 Bc3 Bh6+ Kd4 Bc6 Kc5 Bd7 Kb4 Ke6 Kxa4 Kd5 Ka5 Kc4 a4 Bxb5 axb5 Kxc3 b6 Bg7 b7 Be5 f4 Bb8 Kb5 Kd4 Kc6 Ke4 Kd7 Kf3 Ke6 Kg2 Kf6 Kxh2 Kg7 Kxg3 Kxh7 Kxf4 Kxg6 Ke5,
4382,e4 c5 Nf3 Nc6 Bb5 e6 O-O Nge7 Nc3 a6 Bxc6 Nxc6 d4 cxd4 Nxd4 d6 Be3 Be7 f4 O-O Qd3 Qc7 Rf3 b5 Rd1 Bb7 Rh3 g6 Nb3 Rac8 a3 b4 axb4 Nxb4 Qd2 a5 f5 Qc4 Nxa5 Qc7 Bd4 e5 Qh6 Rfd8 Qxh7+,
4383,d4 d5 c4 e6 Nc3 c5 cxd5 exd5 Nf3 Nc6 Bg5 Be7 Bxe7 Ngxe7 e3 c4 b3 b5 bxc4 bxc4 Be2 O-O O-O Bf5 Nh4 Be6 g4 f5 gxf5 Nxf5 Nxf5 Bxf5 Bf3 Ne7 Kh1 Rb8 Qe2 Bd3 Qd2 Bxf1,
4384,e4 e6 d4 d5 exd5 exd5 Nf3 Bd6 Bd3 Bg4 O-O Nc6 c3 Qf6 Qb3 Nge7 Bg5 Qe6 Re1 Qd7 Bxe7 Bxe7 Nbd2 O-O-O Qc2 Rhe8 h3 Be6 b4 Bd6 Nb3 Kb8 b5 Ne7 Nc5 Bxc5 dxc5 g6 Qa4 Qc8 Nd4 b6 Re5 h6 Rae1 g5 Nxe6 fxe6 Rxe6 Ng8 Bf5 Rxe6 Bxe6 Qb7 c6 Qa8 Bxg8 Rxg8 Qg4 a6 Qd7 axb5 Re7 Ka7 Qxc7+ Ka6 Qd6 b4 Qxd5 Rd8 Qc4+ b5 Qe6 Rd1+ Kh2 Re1 Qxe1,
4385,Nf3 Nf6 g3 c6 Bg2 d6 d4 Bg4 O-O Nbd7 c4 Qc7 Nc3 e5 h3 Bh5 Nh4 Bg6 e4 exd4 Qxd4 Qb6 Qd2 Be7 Rd1 Nc5 Qe2 O-O-O Be3 Qa6 Rab1 Bxe4 Bxe4 Nfxe4 Nxe4 Nxe4 Qg4+ Kb8 Qxe4 Rhe8 Nf5 Bf8 Qf4 g6 Nxd6 g5 Nxe8+,
4386,d4 d5 c4 c6 Nc3 Nf6 e3 e6 Nf3 Nbd7 Bd3 Bd6 e4 dxe4 Nxe4 Nxe4 Bxe4 f5 Bc2 O-O O-O e5 Bg5 Qe8 dxe5 Bxe5 Re1 Qg6 Nxe5 Nxe5 Be7 Be6 Bxf8 Nxc4 Bb4 Bd5 f3 Rd8 Re7 Qf6 Qe1 Qd4+ Kh1 Rf8 Bc3,
4387,e4 e5 Nf3 Nf6 Nc3 Nc6 d4 exd4 Nxd4 Bb4 Nxc6 bxc6 Bd3 d5 exd5 cxd5 O-O O-O Bg5 c6 Qf3 Rb8 h3 Bd6 Na4 h6 Bd2 c5 Rae1 c4 Bf5 Bb7 Bf4 d4 Qg3 Nh5 Bxd6 Nxg3 Bxb8 Nxf1,
4388,e4 c5 Nf3 e6 Nc3 Nc6 d4 cxd4 Nxd4 d6 Bb5 Bd7 Be3 Nf6 O-O Be7 Be2 O-O Nb3 a6 f4 Qc7 Qd2 Rfd8 Bf3 e5 f5 b5 a3 Na5 Nxa5 Qxa5 g4 Bc6 g5 Nd7 Qg2 g6 Bg4 Nc5 b4,
4389,c4 e5 g3 d5 cxd5 Qxd5 Nf3 Nc6 Nc3 Qd8 Bg2 Nf6 O-O Be7 d3 O-O a3 Bg4 b4 a6 Bb2 Qd7 Rc1 Bh3 Na4 Bxg2 Kxg2 Qe6 Nc5 Bxc5 Rxc5 Nd7 Rc1 Rad8 Qc2 Nb6 Rfd1 Rd7 e3 Rfd8 d4 e4 Ng5 Qd5 Qc5 Na4 Ba1 Nxc5,
4390,d4 e6 c4 Nf6 Nf3 b6 g3 Bb7 Bg2 Bb4+ Bd2 Bxd2+ Qxd2 O-O O-O d5 cxd5 exd5 Nc3 Nbd7 b4 Re8 e3 c6 Rfc1 a5 a3 Qe7 Qb2 axb4 axb4 b5 Nd2 Nb6 h3 h6 Ra5 Rac8 Rca1 Rc7 Ra7 Bc8 Rxc7 Qxc7 Qc2 Qe7 Rb1 Bd7 Ne2 Nc4 Nxc4 bxc4 Nc3 Rb8 Qb2 Bf5 Ra1 Rxb4 Qa3 Kh7 Qa8 Rb3,
4391,e4 e6 d4 d5 Nd2 Nf6 e5 Nfd7 Ndf3 c5 c3 Qa5 Bd2 Nc6 Bd3 Qb6 Ne2 Qxb2 O-O Qa3 Qc2 h6 Rab1 c4 Bh7 Nb6 Nf4 Bd7 Rfe1 O-O-O Rxb6 axb6 Rb1 Ne7 Rxb6 Qa7 Qb1 Rxh7 Rb2 Rh8 a4 Bxa4 Ra2 Nc6 Ne2 b5,
4392,d4 c5 d5 e5 e4 d6 Bd3 c4 Bxc4 a5 Ne2 g5 Ng3 Ra7 Nc3 Be7 Be3 f5 Bxa7 Na6 exf5 Bf8 Qh5+ Kd7 Nge4 Qb6 Qf7+ Kd8 Bxb6+ Nc7 Bxc7#,
4393,h4 d5 a4 e5 e4 dxe4 Qe2 Nc6 c4 Nf6 c5 Nd4 Qxe4 Nxe4 Nc3 Nxc3 bxc3 Nc2+ Ke2 Nxa1 c4 Qd4 Nf3 Qe4+ Kd1 Qc2+ Ke1 Qxc1+ Ke2 Bg4 g3 O-O-O Ke3 Qd1 Be2 Nc2+ Ke4 Qxe2#,
4394,e4 Nf6 e5 Nd5 d4 d6 Bc4 Nb6 Bb3 dxe5 Qf3 e6 dxe5 c5 Bg5 Qxg5 Nc3 Bd7 Ne4 Qxe5 O-O-O c4 Bxc4 Nxc4 Nc3 Qa5 Qxb7 Ba3 Qxa8 Bxb2+ Kb1 Qb4 Ne4 Na3#,
4395,e4 e6 e5 d6 exd6 Bxd6 Nh3 Nc6 c3 e5 Qf3 Nf6 d3 Bg4 Qg3 e4 Qe3 O-O dxe4 Bf4 Qxf4 Qd1#,
4396,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5 Ng3 Bg6 h4 h6 h5 Bh7 Nf3 e6 Bd3 Bxd3 Qxd3 Nf6 Bd2 Nbd7 Qe2 Be7 O-O O-O b3 Bd6 Nh2 Bxg3 fxg3 Qb6 Bc3 e5 Rad1 Rae8 Qf3 Re6 Rf2 Rd6 dxe5 Rxd1+ Qxd1 Ne4 Bd4 Nxf2 Bxf2 Qc7 Qd6 Qxd6 exd6 Re8 c4 Re6 c5 Re2 a3 Ra2 Nf3 Rxa3 b4 a5 bxa5 Rxa5 Kf1 f6 Be3 Kf7 Nd2 Nxc5 Nc4 Ra1+ Ke2 Ra2+ Kf3 Nd7 g4 b5 Nb6 Ke6 Nxd7 Kxd7 Bf4 b4 Ke4 b3 Bc1 Rxg2 Kd4 b2 Bxb2 Rxb2,
4397,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 O-O cxd5 exd5 Bd3 c6 h3 Nbd7 Nf3 Re8 Qc2 Nf8 O-O Ne4 Bf4 Nxc3 bxc3 Bd6 Bxd6 Qxd6 Rfc1 Be6 Rab1 b5 a4 a6 axb5 cxb5 Rb3 Rec8 Ra1 h6 Ra5 Rc7 Bxb5 Qb6 Qa2 Rb7 Bc4 Qc7 Rxb7 Qxb7 Bxd5 Bxd5 Rxd5 Ne6 c4 Qb6 c5 Qb5 Ne5 a5 c6 Qb6 Rd7 Ra7 Rxf7,
4398,e4 e6 d4 d5 Nc3 c6 Nf3 dxe4 Nxe4 Nf6 Nxf6+ gxf6 c3 c5 Be3 cxd4 Nxd4 e5 Nb5 Qxd1+ Rxd1 Na6 Nxa7 Bc5 Nxc8 Rxc8 Bb5+ Kf8 Bh6+ Ke7 Rd7+ Ke6 Rxb7 Nc7 Bc4+ Kd6 Bxf7 Kc6 Rb3 Nb5 Be6 Ra8 a3 Nd6 c4 Rab8 Rxb8 Rxb8 b4 Bd4 Ke2 Ra8 Bd5+,
4399,e4 d5 exd5 Nf6 c4 c6 dxc6 Nxc6 Nf3 e5 Nc3 e4 Qe2 Qe7 Nd5 Nxd5 cxd5 exf3 Qxe7+ Nxe7 d6 Nc6,
4400,e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Bd3 Bg4 f3 Bd7 Bd2 Nc6 Nge2 e5 Ne4 Qb6 Nxf6+ gxf6 d5 Nb4 Bxb4 Qxb4+ Qd2 Qxb2 O-O Qb4 Qxb4 Bxb4 Rab1 Bc5+ Kh1 h5 Ng3 b6 Ne4 Be7 f4 f5 Ng5 e4 Ba6 h4 Rb3 Bd6 Kg1 Ke7 Kf2 Bxf4 Nh3 Bxh2 Ke2 Rag8 Rf2 Bg3 Rf1 Bd6 Ke3 Rxg2 Kd4 Rxc2 Re3 Bc5+ Ke5 f6+ Kf4 Bd6#,
4401,Nf3 c6 e4 d5 Nc3 dxe4 Nxe4 Bg4 h3 Bh5 Ng3 Bxf3 Qxf3 Nd7 d4 Ngf6 Bd3 e6 O-O Be7 b3 Nb6 Ne2 Qd5 Qg3 O-O-O c4 Qd7 a4 Nh5 Qf3 g6 a5 Na8 g4 Nf6 a6 b6 b4 h5 g5 Nh7 Be4 Bxg5 Bxc6 Qe7 Bxa8 Bxc1 Rfxc1 Ng5 Qg2 f5 c5 Kb8 cxb6 Rc8 bxa7+,
4402,e4 e6 d4 d5 Nd2 dxe4 Nxe4 Be7 Nf3 Nf6 Nxf6+ Bxf6 c3 O-O Bd3 c5 dxc5 Qa5 Bf4 Bxc3+ bxc3 Qxc3+ Kf1 Qxc5 Bd6 Qb6 Ng5 h6 Bxf8 Kxf8 Qh5 hxg5 Qh8+ Ke7 Qxc8 Qd4 Rd1 Nc6 Qxb7+ Kf6 Qxa8 Nb4 Be2 Qc3 h4 g4 Qd8+ Kg6 Qg5+ Kh7 Qh5+ Kg8,
4403,c4 Nf6 Nc3 d5 cxd5 Nxd5 d4 g6 e4 Nxc3 bxc3 Bg7 Nf3 O-O Be2 c5 O-O Nc6 Be3 Bg4 d5 Bxf3 Bxf3 Na5 Bxc5 Bxc3 Rc1 Bg7 Bb4 b6 Qe2 Nb7 e5 Rc8 Rxc8 Qxc8 Bxe7 Re8 d6 Nc5 Rd1 h5 e6 fxe6 d7 Nxd7 Qxe6+ Kh7 Rxd7,
4404,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nf6 Nxf6+ exf6 Nf3 Bf5 c3 Nd7 Bf4 Nb6 Bd3 Bg6 O-O Be7 c4 Bd6 Bxd6 Qxd6 Re1+ Kd7 c5 Qd5 cxb6 axb6 Rc1 Rae8 Bc4 Qh5 d5 Kc7 d6+ Kd7 Qb3 b5 Red1 Re4 a4 Rb8 axb5 c5 Bd5 Rb4 Qe3 Re8 Qxc5,
4405,c4 Nf6 d4 e5 dxe5 Ng4 Nf3 Bc5 Nc3 Bxf2+ Kd2 d5 Qa4+ Bd7 Qc2 Ne3 Qd3 dxc4 Qe4 Bf5+,
4406,e4 e6 Nf3 Nc6 Bc4 Bd6 d4 e5 Ng5 Nh6 Qf3 f6 Qh5+ g6 Qxh6 fxg5 Bxg5 Bf8 Bxd8 Bxh6 Bxc7 Nxd4 Bxe5 Nxc2+ Kd1 Nxa1 Bxh8 d6 b3 Nxb3 Bxb3 Bd7 Bc3 Rc8 Ke2 Bb5+ Kf3 Kd7 Rd1 Rf8+ Kg3 Bf4+ Kh4 g5+ Kh3 h5 g3 g4+ Kg2 Bg5 Rd5 Bc6 Rxg5 Bxe4+ Kg1 Bxb1 Rg7+ Kc6 Ba4+ b5 Bb3 Rf3 Bd4 a5 Bd1 Rd3 Be2 Rxd4 Re7 Re4 Rxe4 Bxe4 h3 gxh3 Kh2 Bf5 Bxh5 d5 g4 Be6 Be8+ Kc5 f4 Bxg4 Kg3 Bf5 Bh5 Kd4 Be2 b4 Bd1 Ke4 Bb3 Ke3 Bxd5 Kd4 Bb3 Kc3 Kh2 Kb2 Ba4 Kxa2 Bc2 Ka3 Bxf5 b3 Bd3 b2 f5 Kb3 f6 Ka2 f7 b1=Q Bxb1+ Kxb1 f8=Q a4 Qa3 Kc2 Kxh3 Kd2 Kg2 Ke2 Qf3+ Kd2 Qa3 Ke2 Qxa4 Kd2 Kf2 Kd3 Kf3 Kd2 Qd4+ Kc2 Ke3,
4407,e4 c5 Nf3 Nc6 Bc4 e6 d4 Nf6 e5 Nd5 Bxd5 exd5 Bg5 Be7 Bxe7 Qxe7 Nc3 d6 Nxd5 Qd7 O-O dxe5 Re1 Qxd5 Nxe5 O-O Nxc6 Qxc6 d5 Qd6 c4 Bf5 Qb3 b6 Re3 Rfe8 Rae1 Rxe3 Rxe3 Qg6 Qb5 f6 d6 Bd7 Qa6 Qb1+,
4408,d4 d6 e4 Nf6 Nc3 Nbd7 e5 dxe5 dxe5 Nxe5 Qe2 Ned7 Bf4 e6 O-O-O c6 Nf3 Be7 Ne5 O-O g3 Nd5 Ne4 Qb6 Qg4 Nxf4 gxf4 Nxe5 fxe5 f5 exf6 Bxf6 Nxf6+ Rxf6 Rg1 Rg6 Qh4 Rf6 Qxf6,
4409,d4 d6 Bg5 Nd7 e3 Ngf6 h3 g6 Nd2 Bg7 a3 e5 c3 exd4 cxd4 O-O b4 c6 Rc1 Nb6 Ngf3 Qd7 Bd3 Nbd5 O-O h6 Bh4 g5 Nxg5 hxg5 Bxg5 Qe6 Qf3 Ne7 Ne4 Nxe4 Bxe4 d5 Bd3 Bd7 h4 Ng6 h5 Nh8 Qg3 Qg4 Qxg4 Bxg4 h6 f6 h7+ Kf7 Bh4 Ke7 f3 Bh5 g4 Bg6 Rc3 Rae8 f4 Bxd3 Rxd3 Nf7 f5 Rh8 Kf2 Rxh7 Rh1 Ng5 Rh2 Ne4+ Kf3 Ng5+ Kf4 Kf7,
4410,e4 g6 Nf3 Bg7 Bc4 d6 d4 Nc6 c3 e5 d5 Nce7 Bg5 Nf6 Nbd2 O-O O-O a6 a3 h6 Be3 Ng4 h3 Nxe3 fxe3 Kh7 Rf2 Ng8 Qf1 Qe7 Ne1 Nf6 g4 g5 Ng2 b5 Be2 Bb7 c4 c6 cxb5 cxb5 Rc1 Rac8 Bf3 Rxc1 Qxc1 Rc8 Qb1 Qc7 Rf1 Qc2 Qxc2 Rxc2 Nb3 Rxb2 Na5 Ba8 Rc1 Ra2 Nc6 Rxa3 Ne7 b4 Nc6 b3 Rb1 Nd7 Bd1 Nc5 Nb4 b2 Rxb2 Ra1 Rd2 Nxe4 Nc2 Ra2 Rd3 a5 h4 Bb7 hxg5 hxg5 Nge1 Ba6 Ra3 Rxa3 Nxa3 Nc3 Bb3 Be2 Kf2 Bxg4 Nc4 Bf8 Nxa5 f5 Nc6 f4 exf4 gxf4 Nd8 Kg6 Ne6 Be7 Nf3 Ne4+ Kg2 Kf6 Nh2 Bf5 Kf3 Nd2+ Ke2 Nxb3 Nf3 Bg4 Nc7 Nd4+ Kf2 Bxf3 Ne6 Bg4 Nxf4 exf4,
4411,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 a6 Bc4 b5 Bb3 Nc6 a3 Bb7 O-O e5 d3 Nf6 Bg5 Be7 Bxf6 gxf6 Nd5 Bd6 Re1 Rg8 Ne3 Qd7 Bd5 O-O-O Nh4 Rg5 Nf3 Rh5 Nxe5 Rxe5 d4 Rg5 h4 Rg7 Qf3 Rdg8 g3 Bxg3 Qxf6 Be5+ Qg5 Rxg5+ hxg5 Rxg5+ Kf1 Qh3+ Ke2 Nxd4+ Kd1 Qh5+ Kc1 Bxd5 Nxd5 Bd6 Nc3 Qg6 Ne4 Rc5 Nxc5 Qxc2#,
4412,e4 e5 Nf3 Nc6 Bb5 Bd6 Bxc6 dxc6 O-O Be6 Re1 Nf6 Nc3 h6 d4 exd4 Nxd4 Be5 Nxe6 fxe6 Qxd8+ Rxd8 Na4 b5 Nc5 O-O Nxe6 Ng4 g3 Rxf2 Nxd8 Rxh2 Nxc6 Bxg3 Rf1 Bf2+ Rxf2 Rxf2 Ne7+ Kf7 Nf5 Rxc2 Nd4 Rf2 Nxb5 h5 Bg5 Kg6 Bh4 Rh2 Bg3 Rxb2 Nxc7 Kg5 Ne6+ Kf6 Nf4 g6 Nd5+ Kg5 Bf4+ Kh4 Ne3 Nxe3 Bxe3 Kg4 Bxa7 h4 Bf2 h3 e5 Kf5 Re1 Ke6 a4 Ra2 Re3 h2+ Kxh2 Rxf2+ Kg3 Ra2 Re4 Ra3+ Kf4 g5+ Kxg5 Kd5 Kf4 Ke6 Rd4 Ke7 Ke4 Rc3 a5 Rc6 Rd6 Rxd6 exd6+ Kxd6 a6 Kc7 a7 Kb7 a8=R Kxa8,
4413,e4 d6 d4 Nd7 Nf3 Ngf6 Nc3 g6 Bc4 Bg7 e5 dxe5 dxe5 Ng4 Bxf7+ Kxf7 Ng5+ Kg8 Qxg4 Nxe5 Qe2 Bf6 O-O Bg4 f3 Bf5 f4 Nf7 Qc4 Bxg5 fxg5 Kg7 Bf4 Nd6 Be5+ Kf8 Rxf5+ Nxf5 Bxh8 Ke8 Rd1 Nd6 Nb5 Kd7 Nxd6 cxd6 Bc3 Qb6+ Bd4 Qd8 h3 Rc8 Qb5+ Rc6 a4 Kc8 Bxa7 Qc7 c3 b6 a5 Kd7 Bxb6 Qb7 b4 Kc8 Rd3 Kb8 Rd5 e6 Rd3 d5 Rf3 Rc8 a6 Qc6 Qxc6 Rxc6 Rf8+ Rc8 Ba7+ Kc7 b5 Rxf8 b6+ Kc8 b7+ Kc7 b8=Q+ Rxb8 Bxb8+ Kxb8 Kf2 Ka7 Kf3 Kxa6 g4 Kb5 h4 Kc4 Kf4 Kxc3 Ke5 d4 Kxe6 d3 Kf7 d2 Kg7 d1=Q Kxh7 Qxg4,
4414,d4 d6 Bg5 Nd7 e3 Ngf6 Nd2 g6 c3 Bg7 Bc4 O-O h4 b6 g4 Bb7 Rh2 Nxg4 Qxg4 c5 Bb5 Nf6 Bxf6 Bxf6 h5 Bg7 hxg6 fxg6 Qh4 h5 Bd3 e5 Qxd8 Raxd8 dxe5 Bxe5 Rh3 Rf6 f4 Bxf4 Rf3 Bg5 O-O-O Bxf3 Ndxf3 Bxe3+,
